1	2	0.003	12
3	5	0.003	14
5	8	0.003	44
7	11	0.003	45
9	14	0.003	73
11	17	0.004	90
13	20	0.004	109
15	23	0.005	123
17	26	0.006	118
19	29	0.008	148
21	32	0.010	147
23	35	0.013	159
25	38	0.015	207
27	41	0.020	188
29	44	0.024	238
31	47	0.028	250
33	50	0.034	209
35	53	0.043	290
37	56	0.053	333
39	59	0.064	265
41	62	0.077	317
43	65	0.082	353
45	68	0.109	329
47	71	0.126	307
49	74	0.154	404
51	77	0.189	412
53	80	0.214	384
55	83	0.243	447
57	86	0.287	428
59	89	0.329	434
61	92	0.380	573
63	95	0.453	467
65	98	0.513	490
67	101	0.582	496
69	104	0.678	458
71	107	0.765	487
73	110	0.842	546
75	113	0.971	607
77	116	1.055	519
79	119	1.181	561
81	122	1.295	551
83	125	1.525	711
85	128	1.705	629
87	131	1.966	750
89	134	2.012	674
91	137	2.270	680
93	140	2.638	725
95	143	2.707	695
97	146	3.094	739
