1	2	0.002	13
2	3	0.002	15
3	4	0.003	31
4	5	0.002	42
5	6	0.002	32
6	7	0.002	51
7	8	0.002	57
8	9	0.003	64
9	10	0.002	63
10	11	0.003	94
11	12	0.003	82
12	13	0.005	69
13	14	0.003	110
14	15	0.003	106
15	16	0.004	131
16	17	0.004	128
17	18	0.005	107
18	19	0.006	142
19	20	0.006	148
20	21	0.007	160
21	22	0.008	174
22	23	0.008	164
23	24	0.010	207
24	25	0.010	191
25	26	0.008	189
26	27	0.013	206
27	28	0.012	159
28	29	0.016	223
29	30	0.018	198
30	31	0.019	218
31	32	0.022	238
32	33	0.019	245
33	34	0.025	218
34	35	0.029	306
35	36	0.033	294
36	37	0.035	280
37	38	0.035	255
38	39	0.039	252
39	40	0.044	290
40	41	0.047	310
41	42	0.052	324
42	43	0.058	276
43	44	0.065	294
44	45	0.066	327
45	46	0.075	296
46	47	0.079	306
47	48	0.088	418
48	49	0.098	384
49	50	0.100	394
