1	2	0.003	12
3	4	0.003	18
5	6	0.003	35
7	8	0.003	47
9	10	0.003	63
11	12	0.003	96
13	14	0.003	102
15	16	0.004	125
17	18	0.005	134
19	20	0.005	144
21	22	0.006	164
23	24	0.007	192
25	26	0.011	201
27	28	0.015	215
29	30	0.018	210
31	32	0.022	203
33	34	0.029	243
35	36	0.031	249
37	38	0.038	274
39	40	0.046	356
41	42	0.057	309
43	44	0.062	282
45	46	0.071	325
47	48	0.083	369
49	50	0.100	378
51	52	0.127	455
53	54	0.139	439
55	56	0.165	374
57	58	0.202	498
59	60	0.230	436
61	62	0.271	423
63	64	0.298	473
65	66	0.329	473
67	68	0.380	512
69	70	0.413	591
71	72	0.477	447
73	74	0.581	578
75	76	0.675	592
77	78	0.690	638
79	80	0.770	603
81	82	0.890	658
83	84	1.008	578
85	86	1.139	675
87	88	1.253	624
89	90	1.411	743
91	92	1.535	785
93	94	1.626	669
95	96	1.852	756
97	98	1.999	802
