1	2	0.003	9
2	5	0.003	13
3	8	0.003	20
4	11	0.002	38
5	14	0.002	46
6	17	0.003	55
7	20	0.003	73
8	23	0.003	62
9	26	0.004	68
10	29	0.004	86
11	32	0.005	73
12	35	0.007	101
13	38	0.006	123
14	41	0.006	109
15	44	0.008	90
16	47	0.008	138
17	50	0.010	120
18	53	0.011	135
19	56	0.012	134
20	59	0.015	176
21	62	0.012	170
22	65	0.014	169
23	68	0.018	190
24	71	0.021	209
25	74	0.023	183
26	77	0.027	188
27	80	0.032	194
28	83	0.034	217
29	86	0.035	242
30	89	0.045	241
31	92	0.051	262
32	95	0.050	254
33	98	0.063	232
34	101	0.065	318
35	104	0.071	250
36	107	0.080	295
37	110	0.091	291
38	113	0.101	290
39	116	0.116	302
40	119	0.126	287
41	122	0.139	308
42	125	0.156	330
43	128	0.166	315
44	131	0.184	301
45	134	0.206	385
46	137	0.223	403
47	140	0.247	383
48	143	0.277	318
49	146	0.292	340
