1	2	0.003	4
4	5	0.003	19
7	8	0.003	54
10	11	0.003	63
13	14	0.003	102
16	17	0.005	103
19	20	0.006	141
22	23	0.008	157
25	26	0.011	166
28	29	0.015	192
31	32	0.023	256
34	35	0.028	245
37	38	0.037	236
40	41	0.050	325
43	44	0.065	361
46	47	0.081	374
49	50	0.098	313
52	53	0.134	401
55	56	0.163	403
58	59	0.220	437
61	62	0.267	435
64	65	0.327	431
67	68	0.376	465
70	71	0.463	487
73	74	0.612	540
76	77	0.715	550
79	80	0.821	505
82	83	0.992	632
85	86	1.191	763
88	89	1.275	586
91	92	1.494	594
94	95	1.748	757
97	98	1.992	678
100	101	2.447	814
103	104	2.939	866
106	107	3.303	841
109	110	3.542	893
112	113	4.022	868
115	116	4.406	937
118	119	5.125	785
121	122	6.138	758
124	125	6.381	955
127	128	7.507	1059
130	131	8.275	901
133	134	9.518	1121
136	137	9.825	1155
139	140	10.650	1086
142	143	12.327	1062
145	146	13.519	1206
