1	2	0.002	12
3	3	0.002	24
5	4	0.003	42
7	5	0.002	72
9	6	0.003	80
11	7	0.003	93
13	8	0.003	94
15	9	0.003	107
17	10	0.003	112
19	11	0.004	127
21	12	0.004	145
23	13	0.005	186
25	14	0.007	183
27	15	0.009	221
29	16	0.011	246
31	17	0.012	245
33	18	0.016	232
35	19	0.018	280
37	20	0.020	309
39	21	0.027	322
41	22	0.030	275
43	23	0.034	312
45	24	0.047	289
47	25	0.050	387
49	26	0.056	337
51	27	0.065	385
53	28	0.075	327
55	29	0.097	377
57	30	0.105	392
59	31	0.118	440
61	32	0.132	417
63	33	0.135	484
65	34	0.184	513
67	35	0.195	508
69	36	0.241	480
71	37	0.270	524
73	38	0.298	551
75	39	0.323	590
77	40	0.361	587
79	41	0.436	573
81	42	0.488	624
83	43	0.549	596
85	44	0.544	642
87	45	0.631	592
89	46	0.735	702
91	47	0.761	686
93	48	0.853	693
95	49	0.912	690
97	50	1.008	741
