1	2	0.002	5
2	4	0.002	24
3	6	0.002	24
4	8	0.002	31
5	10	0.003	43
6	12	0.003	38
7	14	0.003	54
8	16	0.003	77
9	18	0.003	74
10	20	0.003	71
11	22	0.004	86
12	24	0.003	85
13	26	0.005	109
14	28	0.005	125
15	30	0.006	88
16	32	0.006	104
17	34	0.007	113
18	36	0.008	124
19	38	0.007	123
20	40	0.010	148
21	42	0.012	149
22	44	0.012	164
23	46	0.013	161
24	48	0.017	171
25	50	0.019	166
26	52	0.024	221
27	54	0.021	221
28	56	0.025	195
29	58	0.029	244
30	60	0.033	213
31	62	0.034	219
32	64	0.035	244
33	66	0.044	249
34	68	0.045	268
35	70	0.054	264
36	72	0.058	296
37	74	0.068	277
38	76	0.069	320
39	78	0.081	276
40	80	0.088	303
41	82	0.096	308
42	84	0.098	336
43	86	0.116	318
44	88	0.130	348
45	90	0.144	291
46	92	0.148	356
47	94	0.174	383
48	96	0.181	309
49	98	0.198	373
