1	2	0.003	7
4	3	0.003	23
7	4	0.003	50
10	5	0.002	69
13	6	0.003	101
16	7	0.003	121
19	8	0.004	152
22	9	0.004	130
25	10	0.006	152
28	11	0.006	229
31	12	0.010	210
34	13	0.015	262
37	14	0.019	319
40	15	0.023	290
43	16	0.027	324
46	17	0.036	322
49	18	0.041	349
52	19	0.054	399
55	20	0.057	346
58	21	0.071	414
61	22	0.095	477
64	23	0.114	502
67	24	0.134	586
70	25	0.161	585
73	26	0.208	443
76	27	0.244	499
79	28	0.298	603
82	29	0.341	532
85	30	0.408	548
88	31	0.477	708
91	32	0.528	746
94	33	0.608	800
97	34	0.682	742
100	35	0.818	732
103	36	0.901	630
106	37	1.070	803
109	38	1.146	720
112	39	1.321	803
115	40	1.492	734
118	41	1.631	846
121	42	1.777	776
124	43	2.047	1043
127	44	2.436	901
130	45	2.638	963
133	46	2.960	870
136	47	3.355	910
139	48	3.740	1174
142	49	4.032	1010
145	50	4.458	1036
